covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
PC12,-0.1554874881655362,0.8559977869645398,0.08854984243127877,-0.3290419901675393,0.01806701383646689,0.7196127994506528,1.018231209683252,0.0,-1.7559318446693568,0.07910004672761511,3.6601776428177613
PC13,0.02546206106520036,1.0257889881906528,0.06632005797282939,-0.10452286401415373,0.15544698614455443,0.90075420231461,1.1681800046997526,0.0,0.38392700253114814,0.7010325521102441,0.5124466582439662
PC14,-0.1418529157662875,0.8677488792789972,0.09863739782705018,-0.33517866303605526,0.051472831503480226,0.7152102932945341,1.0528205823512444,0.0,-1.4381250812699964,0.1503985673577998,2.7331372703960253
PC15,0.1601503854239166,1.1736873631922096,0.13018775357901227,-0.09501292281912296,0.41531369366695614,0.9093611828822159,1.5148458637204734,0.0,1.2301493882580876,0.21864116844488912,2.193363019955945
PC16,-0.13454714883537058,0.8741116645580084,0.07649812998701708,-0.28448072849458755,0.015386430823846386,0.752404855298517,1.015505411396138,0.0,-1.7588292531883503,0.07860651448895803,3.669207309460596
PC17,0.032028236092338874,1.0325466599763449,0.0903412407254908,-0.14503734204828628,0.20909381423296403,0.8649899920096017,1.232560624836074,0.0,0.35452508549953693,0.7229454077499022,0.46804138677340174
PC18,-0.009316710758107506,0.9907265553214621,0.07435747949124687,-0.15505469254212706,0.13642127102591206,0.8563683392413036,1.1461646378574915,0.0,-0.1252962152812649,0.9002890483411254,0.15153982493571103
PC19,-0.1603065864168928,0.8518825732999084,0.09175269124102779,-0.34013855673393095,0.019525383900145354,0.7116717090233352,1.0197172509330117,0.0,-1.7471595028834501,0.08060967425126356,3.6329031977116224
PC20,0.1402183330259039,1.1505249690347243,0.1083247299289326,-0.07209423626983211,0.35253090232163986,0.930443210182269,1.4226636186780768,0.0,1.2944258722629207,0.19551835876774734,2.3546240149268476
PC21,-0.10488450602195223,0.9004285106517952,0.09955370353456942,-0.3000061794772862,0.09023716743338173,0.7408136428264943,1.0944338169869539,0.0,-1.0535470032567067,0.29209036380251424,1.7755133311182216
PC22,0.07496096812262124,1.0778420798636865,0.08398502738549292,-0.08964666079355502,0.2395685970387975,0.9142541700492095,1.2707008479516664,0.0,0.8925515708716617,0.37209736379932334,1.426247925458655
PC23,-0.017043041996364968,0.9831013690786888,0.09278653468472664,-0.19890130822870572,0.16481522423597578,0.8196307801549289,1.1791752155790245,0.0,-0.18368012184391214,0.8542644040448311,0.22724542625230892
PC24,0.1009817883068676,1.1062564947761602,0.10678035706491659,-0.10830386579669604,0.31026744241043125,0.8973548795424748,1.3637898005952835,0.0,0.9456962973581013,0.3443035115724504,1.5382471997700509
PC25,0.25497722992127614,1.290432237294727,0.0952748531704602,0.06824194907483239,0.4417125107677199,1.0706243137066676,1.555368524449291,0.0,2.6762280017906277,0.007445597410988801,7.069396673961808
PC26,0.1263801977204702,1.1347135017685843,0.11427450858690895,-0.09759372346088446,0.3503541189018249,0.9070173287688832,1.4195701562213587,0.0,1.105935166847421,0.26875458213877357,1.8956387427060797
PC27,0.2662537663654795,1.3050661985749905,0.10683217109821441,0.056866558622758356,0.4756409741082006,1.0585145513312477,1.609045223347132,0.0,2.4922620557875157,0.01269323473052526,6.299796418861691
